,GAME_ID,HOME_TEAM_ID,HOME_P1,HOME_P2,HOME_P3,HOME_P4,HOME_P5,HOME_P6,HOME_P7,HOME_P8,HOME_P9,VISITOR_TEAM_ID,VISITOR_P1,VISITOR_P2,VISITOR_P3,VISITOR_P4,VISITOR_P5,VISITOR_P6,VISITOR_P7,VISITOR_P8,VISITOR_P9,DAY,WEEK,MONTH,HOME_TEAM_WINS
120,12200060,1610612765,1630595,202711,1630180,1630191,202709,1630296,1631093,1631105,1628995,1610612763,1631223,1629630,1630583,1630217,1631222,1628415,1629723,1629634,203500,286.0,41.0,10.0,0
121,12200061,1610612759,1629640,1630170,1630200,1627751,1630563,1631110,203926,1629641,1628966,1610612760,1631114,1630544,1631172,1631119,1630581,1629647,1630526,1630197,1629652,286.0,41.0,10.0,0
122,12200062,1610612754,1631097,1629614,1626167,1630537,1627741,204456,1630188,1631112,1630678,1610612745,1630231,1630224,1629645,1630578,1630528,1631106,1631102,201569,1630586,287.0,41.0,10.0,0
123,12200063,1610612753,1631094,1630181,1628976,1630175,1630532,1628964,1629626,1631216,1630284,1610612739,1627747,1630171,203526,1626224,1630600,1630612,1630205,1630536,1630596,287.0,41.0,10.0,1
124,12200064,1610612761,1630173,1630567,1627832,1628384,1630551,1630625,201152,1631132,1627823,1610612738,1627759,203935,1629684,1628369,201143,1628401,1630573,1630202,1627763,287.0,41.0,10.0,1
125,12200065,1610612752,1629628,1628973,1629011,203944,1630193,1630167,1628392,1629656,203095,1610612764,203078,1629060,1628398,1629655,1628420,1626153,203115,201959,1631098,287.0,41.0,10.0,1
126,12200066,1610612750,1626157,203497,1630162,1626156,203937,1630183,1629669,1627854,1627752,1610612751,201142,1626220,202681,1630549,1629651,201988,202693,1630560,1627732,287.0,41.0,10.0,0
127,12200067,1610612740,203468,1630529,1630230,1630530,202685,1630700,1627742,1626204,1628984,1610612737,1630552,1628988,1630168,203200,1629027,1627749,1626163,1631213,1631100,287.0,41.0,10.0,1
128,12200068,1610612762,1628374,203903,1629020,203482,201144,1629012,1631117,1629659,200752,1610612742,1629029,203493,203915,203501,1627827,1626174,1628467,1630182,201580,287.0,41.0,10.0,0
129,12200069,1610612744,1630228,201939,203110,203952,1629673,1631116,1630164,202691,1628978,1610612743,1628971,203932,1629008,203484,1628432,203999,201145,1631128,201599,287.0,41.0,10.0,0
130,12200070,1610612758,203084,1627734,1628368,1628370,1629056,1629644,1630558,1631320,1626168,1610612747,1630559,1631108,201976,2544,1631306,1627885,1629308,1629117,1627745,287.0,41.0,10.0,1
